百聞不如一見,百闻不如一见,bai3 wen2 bu4 ru2 yi2 jian4,paɪ wən pu ʐu i tɕjɛn,4,ə
百香果,百香果,bai3 xiang1 guo3,paɪ ɕjɑŋ kwɔ,4,j
百星不如一月,百星不如一月,bai3 xing1 bu4 ru2 yi2 yue4,paɪ ɕiŋ pu ʐu i ɥœ,6,p
百姓,百姓,bai3 xing4,paɪ ɕiŋ,4,i
百姓充實,百姓充实,bai3 xing4 chong1 shi2,paɪ ɕiŋ ʈʂʰʊŋ ʂɨ,6,ʈ
百葉窗簾,百叶窗帘,bai3 ye4 chuang1 lian2,paɪ jɛ ʈʂʰwɑŋ ljɛn,3,j
百依百順,百依百顺,bai3 yi1 bai3 shun4,paɪ i paɪ ʂwən,3,i
擺在面前,摆在面前,bai3 zai4 mian4 qian2,paɪ tsaɪ mjɛn tɕʰjɛn,5,a
百戰百勝,百战百胜,bai3 zhan4 bai3 sheng4,paɪ ʈʂan paɪ ʂɤŋ,8,a
百戰不殆,百战不殆,bai3 zhan4 bu2 dai4,paɪ ʈʂan pu taɪ,8,u
百折不撓,百折不挠,bai3 zhe2 bu4 nao2,paɪ ʈʂɤ pu nɑʊ,6,p
百褶裙,百褶裙,bai3 zhe3 qun2,paɪ ʈʂɤ tɕʰyn,6,t
百足之蟲，死而不僵,百足之虫，死而不僵,bai3 zu2 zhi1 chong2 si3 er2 bu4 jiang1,paɪ tsu ʈʂɨ ʈʂʰʊŋ sɯ ɑɻ pu tɕjɑŋ,5,u
敗北,败北,bai4 bei3,paɪ peɪ,4,e
稗草,稗草,bai4 cao3,paɪ tsʰɑʊ,5,ɑ
拜訪,拜访,bai4 fang3,paɪ fɑŋ,4,ɑ
拜訪親友,拜访亲友,bai4 fang3 qin1 you3,paɪ fɑŋ tɕʰin yoʊ,4,ɑ
稗官,稗官,bai4 guan1,paɪ kwan,4,w
稗官小說,稗官小说,bai4 guan1 xiao3 shuo1,paɪ kwan ɕjɑʊ ʂwɔ,4,w
拜祭,拜祭,bai4 ji4,paɪ tɕi,5,i
